# #######################################################
# LOS LOG
# LOS Statistics
# #######################################################
# 
# Parameters [Units]:
# LOS exit time [s], LOS start time [s],Time of min distance [s],ACID1 [-],ACID2 [-],LAT1 [deg],LON1 [deg],ALT1 [ft],LAT2 [deg],LON2 [deg],ALT2 [ft],DIST [m]
# 
# simt
1007.50000000,1006.00000000,1006.35000000,D958,D404,48.19163217,16.35921113,18.45945000,48.19189673,16.35909384,19.83486000,30.67529682
1009.50000000,1007.00000000,1007.80000000,D728,D1259,48.19582181,16.39781634,30.64757000,48.19561443,16.39769307,27.22245000,24.80398641
1015.50000000,1001.50000000,1009.55000000,D1251,D493,48.21423041,16.35962916,25.04576000,48.21413209,16.35961031,19.58340000,11.02160706
1016.00000000,1002.50000000,1010.45000000,D1254,D493,48.21423544,16.35959882,25.04576000,48.21412861,16.35957910,18.28800000,11.96836288
1020.50000000,1015.50000000,1015.50000000,D1026,D886,48.21258089,16.38716356,14.01642000,48.21265815,16.38740659,19.20739000,19.95225158
1028.50000000,1020.50000000,1024.45000000,D187,D981,48.19620893,16.40977787,54.86400000,48.19620904,16.40977829,62.48400000,0.03387866
1029.00000000,1023.50000000,1025.70000000,D842,D671,48.21218085,16.42325642,18.28800000,48.21230968,16.42311642,24.20739000,17.68708361
1032.50000000,1023.50000000,1023.50000000,D1041,D1013,48.18152258,16.33010718,21.45739000,48.18141794,16.33016935,14.01642000,12.51605988
1035.50000000,1030.00000000,1035.20000000,D669,D267,48.21363944,16.37019038,12.17295000,48.21360230,16.37016769,18.86676000,4.45963563
1036.00000000,1001.00000000,1035.95000000,D1251,D1254,48.21416805,16.35992828,10.91939000,48.21417632,16.35995527,19.58340000,2.20084653
1038.50000000,1034.00000000,1034.00000000,D985,D1232,48.19900484,16.31026950,102.41381000,48.19900473,16.31026056,109.79139000,0.66263314
1043.50000000,1041.00000000,1041.00000000,D669,D267,48.21364782,16.36987133,9.31926000,48.21360230,16.37016769,15.74256000,22.53491914
1045.50000000,1044.00000000,1044.75000000,D953,D545,48.20753908,16.35313669,22.56339000,48.20752986,16.35276153,15.88770000,27.82009270
1046.00000000,1042.50000000,1044.15000000,D576,D873,48.20936023,16.42729416,111.99495000,48.20947694,16.42753446,109.72800000,22.03417551
1050.00000000,1049.00000000,1049.95000000,D862,D232,48.20427594,16.34779293,52.36378000,48.20428368,16.34749254,62.29139000,22.27801923
1053.00000000,1051.50000000,1052.95000000,D519,D27,48.19890859,16.37381056,18.28800000,48.19894584,16.37409718,27.43200000,21.64364507
1053.50000000,1052.50000000,1053.45000000,D1214,D1120,48.19787291,16.35495517,23.57806000,48.19806108,16.35503840,33.57806000,21.81383324
1054.50000000,1053.00000000,1053.00000000,D592,D1122,48.17791076,16.37862396,99.79139000,48.17792535,16.37841217,94.66842000,15.78760988
1059.50000000,1057.00000000,1059.45000000,D493,D1250,48.21416867,16.36101839,16.63065000,48.21418707,16.36105160,24.79139000,3.20030938
1066.00000000,1065.00000000,1065.00000000,D840,D1154,48.19902824,16.31266234,27.43200000,48.19902608,16.31237332,34.79139000,21.42253290
1079.00000000,1071.00000000,1071.00000000,D492,D690,48.19561478,16.34988092,21.26361000,48.19555872,16.34978478,28.35139000,9.46788900
1079.50000000,1075.00000000,1075.95000000,D1203,D358,48.19416714,16.35964971,99.79139000,48.19416752,16.35965029,95.46471000,0.06055515
1082.50000000,1073.50000000,1077.80000000,D1332,D659,48.20745563,16.35717750,18.28800000,48.20746010,16.35717549,18.91961000,0.51978462
1083.50000000,1082.00000000,1082.25000000,D492,D690,48.19595206,16.35047481,18.28800000,48.19577077,16.35015143,25.22719000,31.31909926
1097.00000000,1095.00000000,1095.85000000,D1059,D1453,48.23378705,16.39484778,64.65951000,48.23390660,16.39508079,63.22071000,21.78453816
1110.00000000,1107.50000000,1109.95000000,D1432,D1473,48.19506280,16.39442065,18.28800000,48.19524260,16.39466710,27.55716000,27.08153512
1114.50000000,1111.50000000,1112.65000000,D1199,D351,48.21539736,16.30123517,82.29600000,48.21541964,16.30149591,86.32600000,19.47715502
1126.50000000,1125.50000000,1126.45000000,D1164,D1127,48.20838482,16.42903258,37.16655000,48.20815330,16.42900723,45.72000000,25.81178777
1144.50000000,1140.50000000,1142.40000000,D155,D790,48.19269224,16.41583013,27.43200000,48.19278021,16.41573788,28.15590000,11.93447921
1154.50000000,1152.50000000,1152.50000000,D1294,D1362,48.18850950,16.38365374,82.29600000,48.18850816,16.38352405,88.10623000,9.61567810
1159.00000000,1139.50000000,1154.70000000,D208,D597,48.19991514,16.37332704,23.95739000,48.19991571,16.37332816,18.28800000,0.10428962
1159.00000000,1123.00000000,1154.50000000,D597,D968,48.19991763,16.37335576,18.28800000,48.19991760,16.37335747,14.81339000,0.12664832
1159.50000000,1155.00000000,1159.45000000,D902,D560,48.19971488,16.37354797,58.24781000,48.19948845,16.37351449,49.13939000,25.29973311
1171.50000000,1169.50000000,1169.75000000,D519,D421,48.20174291,16.37470029,18.28800000,48.20165895,16.37437546,23.78594000,25.82143201
1172.50000000,1169.50000000,1169.50000000,D1217,D1157,48.19140909,16.32766798,117.29139000,48.19140946,16.32767953,109.72800000,0.85727830
1173.00000000,1170.00000000,1170.00000000,D1478,D1501,48.20932298,16.35296733,34.74539000,48.20931348,16.35313328,27.43200000,12.34263772
1174.50000000,1173.00000000,1174.35000000,D628,D1163,48.17822491,16.32796137,16.56969000,48.17830740,16.32816340,24.84120000,17.56455068
1178.00000000,1173.50000000,1173.50000000,D999,D141,48.20176182,16.37220786,34.79139000,48.20173393,16.37233277,27.43200000,9.76299968
1178.00000000,1174.00000000,1174.00000000,D550,D728,48.19841189,16.37491769,14.01642000,48.19845002,16.37503133,19.20739000,9.43012385
1184.00000000,1179.50000000,1180.00000000,D720,D1167,48.20269165,16.39716610,19.26336000,48.20269223,16.39716672,25.77465000,0.07934920
1185.00000000,1179.50000000,1182.40000000,D442,D536,48.16115954,16.38477276,118.87200000,48.16095431,16.38460184,118.87200000,26.10474569
1208.00000000,1207.50000000,1207.95000000,D550,D1555,48.19765966,16.37160562,27.22245000,48.19748866,16.37170993,34.91865000,20.52549488
1213.00000000,1208.50000000,1209.35000000,D550,D1555,48.19772017,16.37157080,27.01290000,48.19758186,16.37165466,33.98520000,16.58765664
1214.50000000,1213.00000000,1214.45000000,D1442,D1401,48.22201651,16.32313385,26.97480000,48.22190850,16.32347143,18.28800000,27.74304616
1220.00000000,1217.00000000,1218.90000000,D1122,D1214,48.18780660,16.35209808,13.76261000,48.18782126,16.35225931,9.31545000,12.06300226
1233.50000000,1230.50000000,1231.40000000,D1379,D101,48.21284748,16.36872562,9.14400000,48.21272822,16.36866907,10.69086000,13.90654605
1240.00000000,1236.00000000,1236.55000000,D569,D1263,48.19202630,16.41485596,27.43200000,48.19202950,16.41485008,32.56778000,0.56215581
1248.50000000,1248.00000000,1248.00000000,D873,D1244,48.19826600,16.41323374,109.72800000,48.19837265,16.41334578,117.29139000,14.47663022
1262.00000000,1258.00000000,1258.90000000,D102,D715,48.20730147,16.38061810,27.43200000,48.20735356,16.38054675,34.79139000,7.84246853
1275.50000000,1272.50000000,1275.45000000,D1289,D545,48.22461320,16.35069665,28.15661000,48.22471120,16.35072637,18.28800000,11.11726802
1280.50000000,1278.50000000,1278.50000000,D296,D1460,48.19919169,16.34435692,28.44143000,48.19914742,16.34415539,23.16042000,15.72623136
1283.50000000,1267.50000000,1267.50000000,D1533,D1303,48.19482672,16.35208539,14.01642000,48.19486857,16.35202399,19.20739000,6.50892078
1287.50000000,1285.50000000,1286.05000000,D1475,D686,48.23957924,16.33724649,73.15200000,48.23962006,16.33744520,70.65661000,15.39963910
1288.50000000,1287.00000000,1287.00000000,D1058,D1119,48.19632666,16.34207367,69.73642000,48.19629448,16.34180252,76.32139000,20.41337482
1288.50000000,1285.50000000,1287.50000000,D928,D917,48.20934650,16.42731371,113.21796000,48.20946062,16.42754437,109.72800000,21.28806407
1297.00000000,1294.50000000,1296.70000000,D877,D566,48.19478117,16.38548523,18.01261000,48.19462299,16.38542753,9.31545000,18.10151121
1299.00000000,1297.00000000,1298.95000000,D528,D1456,48.21638832,16.36328430,28.15661000,48.21616659,16.36326676,18.28800000,24.68950792
1301.50000000,1297.00000000,1298.80000000,D1324,D1219,48.20107041,16.33150188,20.06339000,48.20107639,16.33157504,19.93919000,5.46252548
1304.00000000,1296.00000000,1302.15000000,D1008,D812,48.25520888,16.42108475,13.28339000,48.25503119,16.42118495,8.79729000,21.10455238
1307.00000000,1304.50000000,1305.55000000,D928,D992,48.20941771,16.42721317,113.16843000,48.20956966,16.42752106,109.72800000,28.38974075
1309.00000000,1299.00000000,1304.80000000,D1204,D1250,48.22935217,16.35535890,18.28800000,48.22935234,16.35536198,23.77939000,0.22887024
1311.00000000,1304.00000000,1306.60000000,D582,D679,48.22341303,16.38282533,34.79139000,48.22341261,16.38282515,27.43200000,0.04867515
1311.50000000,1311.00000000,1311.45000000,D1533,D629,48.19304335,16.35406187,18.11655000,48.19325447,16.35403934,25.77465000,23.53533411
1313.00000000,1311.00000000,1312.95000000,D1574,D1073,48.20925800,16.42757423,77.00456000,48.20909765,16.42766920,86.25800000,19.16951485
1313.50000000,1312.00000000,1313.45000000,D1533,D629,48.19303039,16.35412917,16.34490000,48.19312290,16.35404190,24.84120000,12.15133427
1324.00000000,1323.00000000,1323.95000000,D437,D113,48.22914509,16.34592980,18.16478000,48.22906073,16.34629039,27.43200000,28.30982363
1329.50000000,1326.00000000,1327.35000000,D482,D1078,48.21961236,16.37988328,102.13086000,48.21965169,16.38013708,108.07065000,19.30540281
1331.50000000,1328.00000000,1328.75000000,D1568,D569,48.19804598,16.42360436,34.86378000,48.19804491,16.42360282,27.43200000,0.16408616
1341.00000000,1337.00000000,1338.45000000,D1307,D274,48.19259445,16.29935218,51.51261000,48.19258979,16.29946597,45.72000000,8.45072888
1343.00000000,1342.50000000,1342.50000000,D1033,D1291,48.19727548,16.41182889,117.29139000,48.19719291,16.41168785,109.72800000,13.91318300
1343.00000000,1341.00000000,1342.45000000,D999,D978,48.21391623,16.37434738,12.46956000,48.21382708,16.37443303,19.20739000,11.77078182
1344.00000000,1343.50000000,1343.50000000,D1291,D1033,48.19726015,16.41180289,114.79139000,48.19710035,16.41153131,109.55274000,26.85069298
1347.50000000,1344.00000000,1344.00000000,D195,D1522,48.20180325,16.37202221,39.68581000,48.20182352,16.37193108,47.29139000,7.11971973
1348.00000000,1341.50000000,1344.25000000,D1468,D305,48.20974197,16.35534826,9.14400000,48.20974397,16.35534902,16.63065000,0.22958822
1348.50000000,1348.00000000,1348.00000000,D1006,D868,48.20245132,16.36174666,9.14400000,48.20227010,16.36206884,14.81339000,31.24357984
1349.00000000,1348.50000000,1348.50000000,D724,D1099,48.22907344,16.34621839,1.19253000,48.22907177,16.34622511,8.28339000,0.53140868
1350.50000000,1346.00000000,1350.45000000,D1287,D1566,48.20352217,16.36454752,27.03501000,48.20356171,16.36427718,36.57600000,20.51161209
1352.50000000,1351.50000000,1352.45000000,D1279,D720,48.19885599,16.37683858,37.04680000,48.19866021,16.37701066,27.43200000,25.23054709
